Country,Subcategory,Unit,Year,Actual
Japan,Economy Dry Cat Food,Kilograms,2012,79693277
Japan,Economy Dry Cat Food,Kilograms,2013,47503694
Japan,Economy Dry Cat Food,Kilograms,2014,57285971
Japan,Economy Dry Cat Food,Kilograms,2015,22678420
Japan,Economy Dry Cat Food,Kilograms,2016,39143565
Japan,Economy Dry Cat Food,Kilograms,2017,58853815
Japan,Economy Dry Cat Food,Kilograms,2018,51414445
Japan,Economy Dry Cat Food,Kilograms,2019,83212636
Japan,Economy Dry Cat Food,Kilograms,2020,55623754
Japan,Economy Dry Cat Food,Kilograms,2021,88241574
Japan,Economy Dry Cat Food,Kilograms,2022,78044689
Japan,Economy Dry Cat Food,Kilograms,2023,84744033
Japan,Economy Dry Cat Food,Kilograms,2024,84269483
Japan,Economy Dry Cat Food,Kilograms,2025,61012946
Japan,Economy Dry Dog Food,Kilograms,2012,32485834
Japan,Economy Dry Dog Food,Kilograms,2013,82321902
Japan,Economy Dry Dog Food,Kilograms,2014,81802338
Japan,Economy Dry Dog Food,Kilograms,2015,79264545
Japan,Economy Dry Dog Food,Kilograms,2016,47596712
Japan,Economy Dry Dog Food,Kilograms,2017,65465137
Japan,Economy Dry Dog Food,Kilograms,2018,69138218
Japan,Economy Dry Dog Food,Kilograms,2019,83727579
Japan,Economy Dry Dog Food,Kilograms,2020,66213393
Japan,Economy Dry Dog Food,Kilograms,2021,58435792
Japan,Economy Dry Dog Food,Kilograms,2022,22958778
Japan,Economy Dry Dog Food,Kilograms,2023,70630909
Japan,Economy Dry Dog Food,Kilograms,2024,27973751
Japan,Economy Dry Dog Food,Kilograms,2025,77526084
Japan,Economy Wet Cat Food,Kilograms,2012,66307971
Japan,Economy Wet Cat Food,Kilograms,2013,20787858
Japan,Economy Wet Cat Food,Kilograms,2014,46845431
Japan,Economy Wet Cat Food,Kilograms,2015,84871883
Japan,Economy Wet Cat Food,Kilograms,2016,25661214
Japan,Economy Wet Cat Food,Kilograms,2017,28441524
Japan,Economy Wet Cat Food,Kilograms,2018,51378730
Japan,Economy Wet Cat Food,Kilograms,2019,73603296
Japan,Economy Wet Cat Food,Kilograms,2020,85118091
Japan,Economy Wet Cat Food,Kilograms,2021,85702576
Japan,Economy Wet Cat Food,Kilograms,2022,29860609
Japan,Economy Wet Cat Food,Kilograms,2023,25158779
Japan,Economy Wet Cat Food,Kilograms,2024,60334744
Japan,Economy Wet Cat Food,Kilograms,2025,69218771
Japan,Economy Wet Dog Food,Kilograms,2012,71867706
Japan,Economy Wet Dog Food,Kilograms,2013,26836130
Japan,Economy Wet Dog Food,Kilograms,2014,59289668
Japan,Economy Wet Dog Food,Kilograms,2015,21588707
Japan,Economy Wet Dog Food,Kilograms,2016,30046911
Japan,Economy Wet Dog Food,Kilograms,2017,77507882
Japan,Economy Wet Dog Food,Kilograms,2018,53862448
Japan,Economy Wet Dog Food,Kilograms,2019,40441028
Japan,Economy Wet Dog Food,Kilograms,2020,41691652
Japan,Economy Wet Dog Food,Kilograms,2021,86184231
Japan,Economy Wet Dog Food,Kilograms,2022,29102184
Japan,Economy Wet Dog Food,Kilograms,2023,53498747
Japan,Economy Wet Dog Food,Kilograms,2024,28895854
