Country,year,gdp_pc_ppp,tfr
Japan,2012,37974.343588054,1.41
Japan,2013,39855.3531119712,1.43
Japan,2014,40272.4415780289,1.42
Japan,2015,41722.3895623635,1.45
Japan,2016,41462.5069772969,1.44
Japan,2017,42346.876013211,1.43
Japan,2018,43090.0699981402,1.42
Japan,2019,43743.5313931194,1.36
Japan,2020,43560.021428549,1.33
Japan,2021,45999.4617966896,1.3
Japan,2022,49245.964174373,1.26
Japan,2023,52726.2389417641,1.2
Japan,2024,54156.2687689605,1.15
Japan,2025,55421.8797530311,NA
South Korea,2012,35061.5531929083,1.297
South Korea,2013,35844.2253782408,1.187
South Korea,2014,37032.1724172561,1.205
South Korea,2015,39794.1961180043,1.239
South Korea,2016,41672.6278317077,1.172
South Korea,2017,43155.9100867658,1.052
South Korea,2018,45511.0803506331,0.977
South Korea,2019,46511.2196957018,0.918
South Korea,2020,47881.4921344193,0.837
South Korea,2021,51718.2518656631,0.808
South Korea,2022,55509.3368761174,0.778
South Korea,2023,57429.8031076402,0.721
South Korea,2024,61051.3492502498,0.748
South Korea,2025,63124.9152183625,NA
Malaysia,2012,22638.5406944009,2.117
Malaysia,2013,23160.8924510627,2.07
Malaysia,2014,24306.5212338415,2.058
Malaysia,2015,24526.3942716012,2.008
Malaysia,2016,25285.8213541391,1.942
Malaysia,2017,26415.5960203287,1.893
Malaysia,2018,27793.5674222948,1.838
Malaysia,2019,28933.928297233,1.777
Malaysia,2020,27474.7361378236,1.68
Malaysia,2021,29822.8491831618,1.555
Malaysia,2022,34414.4136245222,1.55
Malaysia,2023,36496.9483630681,1.55
Malaysia,2024,38835.6013146653,1.543
Malaysia,2025,41497.6746089548,NA
Singapore,2012,82107.7270892092,1.29
Singapore,2013,83088.3185411658,1.19
Singapore,2014,84555.2446100826,1.25
Singapore,2015,87156.187383315,1.24
Singapore,2016,90214.7780767093,1.2
Singapore,2017,96056.7007948924,1.16
Singapore,2018,104198.419110899,1.14
Singapore,2019,105521.619340296,1.14
Singapore,2020,102117.449503559,1.1
Singapore,2021,133990.186782104,1.12
Singapore,2022,144417.646950009,1.04
Singapore,2023,144728.385132013,0.97
Singapore,2024,153161.175431382,0.97
Singapore,2025,163353.990260152,NA
Thailand,2012,14616.6497925392,1.563
Thailand,2013,15215.9492506383,1.526
Thailand,2014,15365.3175402829,1.484
Thailand,2015,15791.1714762207,1.451
Thailand,2016,16671.2506902144,1.4
Thailand,2017,17573.339815536,1.363
Thailand,2018,18876.2208766741,1.323
Thailand,2019,19963.3918407099,1.285
Thailand,2020,19156.5820127644,1.259
Thailand,2021,20236.9760408784,1.234
Thailand,2022,22245.6387597542,1.221
Thailand,2023,23598.3745068685,1.212
Thailand,2024,24909.2266037939,1.204
Thailand,2025,26250.0723587304,NA
